alf_awal,alf_akhir
BA,AK
KA,AT
SA,AN
PA,AR
LA,AH
SE,AS
MA,AM
TA,AL
RA,NG
GA,US
SU,IK
DA,AI
KE,UR
KU,TA
TE,UK
BU,UT
SI,AP
JA,UH
PE,RA
PU,IS
BE,RI
BO,OK
GE,MA
LE,IT
TU,SI
BI,IR
CA,UN
TI,IL
HA,IN
DE,ER
KO,SA
KI,ET
NA,DA
PI,TI
LI,ON
LU,EK
PO,EN
AM,OR
MU,PA
RO,DI
CE,LI
AL,IH
AN,AU
RE,LA
AK,YA
GI,BU
MI,TU
TO,GA
WA,NA
AR,ES
GU,EL
IN,KA
ME,WA
SO,UL
AS,NI
DU,UM
JU,IA
GO,IM
LO,KU
MO,DU
RU,TO
DI,PI
CU,BA
FA,RU
JE,TE
AB,OT
CI,LU
EN,AB
FO,RO
RI,LO
HI,OS
NO,EM
UR,JA
AJ,OL
DO,JI
